Job Title,Company,Location,Salary,Description,URL
Python Developer,TheHRsoft,"Delhi, Delhi","₹6,87,646 - ₹25,69,713 a year","Expert in Python, with knowledge of Django Web Framework, Django rest Framework, SQL`Familiarity with some ORM (Object Relational Mapper) libraries.`Knowledge of user authentication and authorization between multiple systems, servers, and environments.`Familiarity with event-driven programming in Python.`Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.`Developing back-end components to improve responsiveness and overall performance`Integrating user-facing elements into applications`Design and implementation of low-latency, high-availability, and performant applications`Integration of user-facing elements developed by front-end developers with server-side logic`Implementation of security and data protection`Job Type: Full-time`Salary: ₹687,646.39 - ₹2,569,713.36 per year`Benefits:`Food provided`Health insurance`Life insurance`Paid sick time`Paid time off`Work from home`Schedule:`Day shift`Supplemental pay types:`Yearly bonus`Ability to commute/relocate:`Bengaluru, Karnataka: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Python: 1 year (Preferred)`total work: 1 year (Preferred)``Health insurance",https://in.indeed.com/company/TheHRsoft/jobs/Python-Developer-48250a367f646f96?fccid=5a5e71e1480dc662&vjs=3
Python Developer,IG Drones,"Delhi, Delhi","₹3,23,532 - ₹13,17,628 a year","Develop software applications using Python Work closely with the team to design, develop, and maintain software applications Collaborate with team members to identify and troubleshoot issues Write clean, efficient, and maintainable code 2-3 years’ experience in Software Development in Python Bachelor's degree in Computer Science or a related field Minimum of 2 years of experience in software development For non python experienced candidates - Experience in software development using other technologies (e.g., Java, C++, .NET). Experience in API development is mandatory for such candidate Good Understanding of software development life cycle (SDLC) and agile methodologies Strong problem-solving skills and attention to detail`Job Type: Full-time`Salary: ₹323,531.74 - ₹1,317,628.34 per year`Benefits:`Provident Fund`Schedule:`Flexible shift`Monday to Friday`Supplemental pay types:`Yearly bonus`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Work Location: One location",https://in.indeed.com/company/IG-Drones/jobs/Python-Developer-bd8115aa54eb7125?fccid=2c6b89bd42a8a98c&vjs=3
Python Backend Engineer,Ascendeum Pvt Ltd,"Remote in New Delhi, Delhi","₹8,00,000 - ₹15,00,000 a year","About Us: We at Ascendeum provide Data and AdTech strategy consultation to businesses worldwide. We started our journey with private funding and has been operating profitably since 2015. We are a lean team of 50+ highly productive and smart people spread across various parts of India who have been consistently delivering intelligent solutions that enable enterprise-level websites and apps to maximize their digital advertising returns.`Job Details: We are looking for an analytical, results-driven Back-end Engineer who holds a passion to troubleshoot and improve current back-end applications and processes. The Back- end Developer will use his or her understanding of programming languages and tools to analyze current codes and industry developments, formulate more efficient processes, solve problems, and create a more seamless experience for users.`Location: Fully remote opportunity`Job Responsibilities:`Compile and analyze data, processes, and codes to troubleshoot problems and identify areas for improvement.`Collaborating with the front-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience.`Developing ideas for new programs, products, or features by monitoring industry developments and trends.`Recording data and reporting it to proper parties, such as clients or leadership.`Participating in continuing education and training to remain current on best practices, learn new programming languages, and better assist other team members.`Taking lead on projects, as needed.`Desired Skills and Experience:`Bachelor’s degree in computer programming, computer science, or a related field.`Solid experience specializing in developing and managing back-end systems for enterprise grade applications.`Strong command on Python and databases such as MySQL.`Strong understanding of the web development cycle and programming techniques and tools.`Focus on efficiency, user experience, and process improvement.`Excellent project and time management skills.`Strong problem solving and verbal and written communication skills.`Ability to work independently or with a group.`Job Type: Full-time`Salary: ₹800,000.00 - ₹1,500,000.00 per year`Benefits:`Flexible schedule`Health insurance`Internet reimbursement`Paid time off`Provident Fund`Work from home`Schedule:`Monday to Friday`Morning shift`Supplemental pay types:`Quarterly bonus`Yearly bonus`Experience:`Python: 1 year (Preferred)``Health insurance",https://in.indeed.com/company/Ascendeum-Pvt-Ltd/jobs/Back-End-Developer-2be640e4e0b3122b?fccid=8df747a4d202d545&vjs=3
Python Developer,Parahit Technologies,"New Delhi, Delhi",,"Python, Django, HTML, JavaScript`Must have practical knowledge of coding in Python/Django framework.`Can deal with JavaScript coding involving AJAX/JSON/XML web services.`Open to learning new technologies.`Must be a good communicator who can explain and understand clearly",https://in.indeed.com/rc/clk?jk=54cc0b0855c81cfa&fccid=c45d3fb18b575bf4&vjs=3
Python Developer,Trading with GS,"Delhi, Delhi","₹3,00,000 - ₹6,00,000 a year","Job description:`Required a full time python developer who can code stratgies as per requirements and deploy the same in client's account. Ability to stratgize backtesting must be there.`He/she must have some knowledge about stock market and trading.`Job Types: Full-time, Regular / Permanent`Salary: ₹300,000.00 - ₹600,000.00 per year`Benefits:`Cell phone reimbursement`Work from home`Schedule:`Day shift`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Python: 1 year (Preferred)`total work: 1 year (Preferred)",https://in.indeed.com/company/Trading-with-GS/jobs/Python-Developer-250d47cdc8508e23?fccid=f01531f1ad0b8a5f&vjs=3
Python Developer,B&M Global Solutions,"Delhi, Delhi","Up to ₹12,00,000 a year","We are a consultancy and we have a vacancy for a Python Developer in a reputed company at Gurugram Location.`Kindly contact to talk in detail and know about the company.`Details of the job -`Designation and role - Python Developer`Location - Sector 48, Gurugram`Experience needed - minimum 4 years.`Should have excellent skills in working with Python`Salary - Upto 12 Lakh LPA`Timing of office - 9 am - 6 pm`Job Types: Full-time, Regular / Permanent`Salary: Up to ₹1,200,000.00 per year`Schedule:`Day shift`Speak with the employer`+91 7850040409",https://in.indeed.com/company/B&M-Global-Solutions/jobs/Python-Developer-8b436fb3e47ea39a?fccid=c8861f66549946e2&vjs=3
Backend Developer- Python,ADVENTURE SPORTS COVER360,"Remote in Delhi, Delhi","₹35,000 - ₹50,000 a month","Python Full-Stack Web Developer`Vision`The vision of Adventure Sports Cover 360 is to empower people to pursue their passion for adventure sports and activities with peace of mind, knowing they are protected by reliable insurance and supported by emergency services. Our aim is to be the leading provider of adventure sports covers, offering comprehensive coverage and exceptional customer service to our clients. We envision a world where people can fully immerse themselves in the thrill of adventure sports. Our goal is to make adventure sports accessible to everyone, from beginners to seasoned adventurers, by providing them with the support they need to pursue their passions safely and confidently.`Experience in web development`· Excellent knowledge of Backend and Frontend.`Backend - Python, Django Framework.`· Database - PostgreSQL, Django ORM`· Decent knowledge of chrome developer tools.`· Experience in software engineering best practices and design principles`· Capable of handling web service integration - RESTful, JSON, Django RestAPIs`· A focus and passion for UI & UX to make applications exciting for the user`· Proactive towards debugging & optimizing the codebase`· Rapid prototyping skills for getting product feedback`· Understanding of product development lifecycle`· Experience with cloud deployment like AWS, AZURE, Heroku, etc.`Job Types: Full-time, Regular / Permanent`Salary: ₹35,000.00 - ₹50,000.00 per month`Benefits:`Flexible schedule`Work from home`Schedule:`Day shift`Education:`Bachelor's (Preferred)`Experience:`IT: 2 years (Required)`Expected Start Date: 24/04/2023",https://in.indeed.com/company/ADVENTURE-SPORTS-COVER360/jobs/Back-End-Developer-b8210f4b63050888?fccid=104b08b67090fc9a&vjs=3
LMS Developer (OpenEdX | Python | Django) - Remote Work,eduCLaaS,"Remote in New Delhi, Delhi","₹92,000 - ₹1,20,000 a month","Learning Management Systems (LMS) Developer and Administrator`As an LMS Developer and Administrator, you will work on varied tasks ranging from developing LMS features, customising and deploying instances, and handling LMS administrative tasks. In this role, you will handle complex requests, including troubleshooting, reporting, data insights, LMS vendor liaison, and special project requests for the LMS.`KEY RESPONSIBILITIES AS LMS DEVELOPER`Open edX installation and configuration`Course Catalogue Page creation`White labelling`Adding APIs to fetch data from the platform`Installation of various plugins (XBlocks) as per requirement`Payment gateway integration`eCommerce integration`Zoom integration (Live sessions integration)`Calendar Integration`Certificate Integration`Contribute to the development and maintenance of the multiple LMS interfaces.`Contribute to the ongoing development and enhancement of the overall LMS system acting as a visualizer and contributor the open source community.`Should be well versed with the latest tools & techniques that can be adopted by our existing system.`KEY RESPONSIBILITIES AS LMS ADMINISTRATOR`Serve as a single point of contact for all issues with the LMS. Assist everyone in the organisation as an initial point of contact for the LMS by answering queries and providing immediate resolution or careful redirection and escalation to managers and the LMS vendor.`Explore ways to improve learning delivery through the LMS.`Promoting a positive LMS user experience`Accurately design, pull, and manage reports and provide regular reporting updates to management.`Collaborate with stakeholders to resolve learner issues in the LMS in a thorough and timely manner.`Perform regular audits of the LMS functionalities and if required raise enhancement or new functionalities requests after getting relevant approvals`Research other systems and recommend best practices.`Participate in new course launch testing when necessary.`Achieve the stated LMS performance and service standards.`Carry out special projects as directed by the manager.`Create, manage, and analyze multiple LMS metrics as per dynamic organizational requirements.`Load, integrate, and test 3rd party learning content into the LMS.`SKILLS AND QUALIFICATIONS`Hard core programming expertise in Open Edx customization. Should have experience and expertise in detailed customization existing open edx modules. Should have experience and expertise in integration with other external database/applications (Microsoft PowerBI, MariaDB) and also third party social plugins.`Hands-On Experience on OpenEDX or Leading LMS Platform`Proven expertise in core PHP, Python, Django`Hands on Experience on MySQL/MSSQL, MariaDB, MongoDB`Front end technologies like HTML5, CSS3, JavaScript are added advantage.`Cloud Hosting and Management of Recourse using Azure or AWS`Knowledge in Redis/RabbitMQ, nginx and gunicorn.`Knowledge of writing web-services using REST/SOAP protocols.`Familiarity and comfort with Dev-stack and Vagrant.`Familiarity in Version control systems and GIT Hub.`Knowledge of accessing Linux server remotely with terminal commands using Putty`Job Type: Full-time`Salary: ₹92,000.00 - ₹120,000.00 per month`Schedule:`Monday to Friday`Education:`Bachelor's (Preferred)`Experience:`OpenEdX: 1 year (Preferred)`Python: 1 year (Preferred)`Django: 1 year (Preferred)",https://in.indeed.com/company/Lithan-Academy/jobs/Python-Developer-fa499e9106179a36?fccid=6dff6b8f30346964&vjs=3
Python Developer,Nector Foods Private Limited,"Delhi, Delhi","₹14,000 - ₹18,000 a month","We are looking for an experienced web scraper employee who will be responsible for extracting and ingesting data from websites using web crawling tools and manipulate with it.`In this role the candidate will own the creation process of these tools, services, and workflows to improve crawl/ scrape analysis, reports and data management.`Requirements`Experienced in Python, with knowledge of Scrapy framework.`Experience running large scale web scrapes.`Design and build web crawlers to scrape data and URLs.`Ability to clean the scraped data to make it ingestible in the database.`Should have knowledge in scraping frameworks such as Scrapy, Beautiful Soup, HTQL, Selenium, JSoup, Web-Harvest and others.`Building the scripts to retrieve this data.`Quickly create proof of concepts for new crawlers/scrapers.`Sound understanding of Algorithms and Data structures.`Ability to write well-crafted, readable, testable, maintainable and modular code.`Good troubleshooting and debugging skills`Having experience in web scraping.`Manipulate data through text processing, regular expressions etc.`B. TECH (CSE or IT) or BCA Degree in Computer Science or related information technology field`Proven 6 Month of work experience as Python Developer is a must.`Sound understanding and knowledge of Python and its ecosystem libraries like Pandas, Numpy, Dask, sqlAlchemy along with built in modules.`Knowledge of software development and user interface web applications.`Excellent logical, analytical and organizational skills.`Job Type: Full-time`Salary: ₹14,000.00 - ₹18,000.00 per month`Schedule:`Morning shift`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Speak with the employer`+91 9871284804",https://in.indeed.com/company/Nector-Foods-Private-Limited/jobs/Python-Developer-4abe4f82a238585a?fccid=f1702f151bbe2ab5&vjs=3
Python Developer,IO DataLabs,"Remote in Delhi, Delhi","₹50,000 - ₹1,00,000 a month","IO Data Labs is hiring for a Python Developer. we are Canada based Organization seeking for an candidate with strong technical background. Apply Now`Experience Required: 3- 6 years`Salary : up to 1lpa/month (Negotiable for deserving candidates)`Shift Timing: 6:30 pm - 2:30 am IST`Work From Home`Job description:`- Should have more than 3+ years of experience with the technologies`-RESTful API's development using python Fastapi, Flask or Django REST framework.`- Experience using various python libraries like Pandas, Scipy, NumPy, etc.`- Strong experience working with any SQL databases such as PostgreSQL Mysql.`- Proficient understanding of code versioning tools such as Github.`- Understanding of information security architecture and security best practices.`REQUIRED TECHNOLOGIES & FRAMEWORKS:`Language - Python`Framework - Fastapi, Django, Flask`Databases - MySQL, PostgreSQL`Libraries - Pydantic, Marshmallow, Pandas, SciPy, NumPy etc.`Job Types: Full-time, Regular / Permanent`Salary: ₹50,000.00 - ₹100,000.00 per month`Benefits:`Work from home`Schedule:`Evening shift`Monday to Friday`Night shift`Speak with the employer`+91 9815269309",https://in.indeed.com/company/IO-DataLabs/jobs/Python-Developer-5ae46a7ccaee5504?fccid=77655d4b63b50b08&vjs=3
